2020/07/02 16:56:20 [error] 12092#20372: *344 rewrite or internal redirection cycle while internally redirecting to "/static/admin/img/search.svg/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/img/search.svg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *333 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/jquery/jquery.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *345 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/jquery.init.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/jquery.init.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *346 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/core.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/core.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *347 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/admin/RelatedObjectLookups.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *348 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/actions.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/actions.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *349 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/urlify.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/urlify.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *350 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/prepopulate.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/prepopulate.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *351 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/xregexp/xregexp.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:20 [error] 12092#20372: *352 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
